Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
2.76000,0.50264,93.92982,-1.23730,0.97875,1.55498
2.77000,0.47885,93.93512,-1.23412,0.98302,1.53998
2.78000,0.45324,93.94431,-1.23356,0.99231,1.52412
2.79000,0.42596,93.95651,-1.23499,1.00529,1.50826
2.80000,0.39730,93.97070,-1.23755,1.02023,1.49328
2.81000,0.36767,93.98571,-1.24022,1.03518,1.48008
2.82000,0.33762,94.00031,-1.24187,1.04813,1.46944
2.83000,0.30772,94.01327,-1.24138,1.05717,1.46202
2.84000,0.27855,94.02345,-1.23772,1.06077,1.45823
2.85000,0.25067,94.02979,-1.23001,1.05787,1.45822
2.86000,0.22456,94.03146,-1.21765,1.04800,1.46184
2.87000,0.20066,94.02773,-1.20034,1.03130,1.46867
2.88000,0.17935,94.01812,-1.17817,1.00845,1.47808
2.89000,0.16098,94.00230,-1.15159,0.98050,1.48935
2.90000,0.14583,93.98013,-1.12145,0.94876,1.50168
2.91000,0.13417,93.95161,-1.08888,0.91463,1.51435
2.92000,0.12620,93.91690,-1.05524,0.87955,1.52671
2.93000,0.12203,93.87629,-1.02200,0.84499,1.53818
2.94000,0.12170,93.83020,-0.99065,0.81243,1.54829
2.95000,0.12515,93.77914,-0.96253,0.78343,1.55660
2.96000,0.13223,93.72372,-0.93881,0.75950,1.56272
2.97000,0.14272,93.66463,-0.92042,0.74205,1.56631
2.98000,0.15632,93.60260,-0.90803,0.73214,1.56709
2.99000,0.17270,93.53831,-0.90210,0.73035,1.56490
3.00000,0.19149,93.47241,-0.90285,0.73657,1.55975
3.01000,0.21225,93.40547,-0.91031,0.74997,1.55187
3.02000,0.23451,93.33794,-0.92427,0.76905,1.54169
3.03000,0.25772,93.27014,-0.94428,0.79182,1.52987
3.04000,0.28127,93.20234,-0.96963,0.81612,1.51715
3.05000,0.30454,93.13471,-0.99933,0.83994,1.50436
3.06000,0.32688,93.06737,-1.03217,0.86168,1.49226
3.07000,0.34767,93.00040,-1.06677,0.88040,1.48147
3.08000,0.36644,92.93382,-1.10168,0.89586,1.47239
3.09000,0.38281,92.86765,-1.13548,0.90841,1.46523
3.10000,0.39662,92.80183,-1.16690,0.91878,1.45999
3.11000,0.40791,92.73624,-1.19492,0.92787,1.45650
3.12000,0.41688,92.67072,-1.21877,0.93644,1.45456
3.13000,0.42388,92.60510,-1.23798,0.94497,1.45393
3.14000,0.42935,92.53922,-1.25229,0.95353,1.45439
3.15000,0.43375,92.47297,-1.26162,0.96179,1.45573
3.16000,0.43747,92.40635,-1.26601,0.96913,1.45774
3.17000,0.44083,92.33952,-1.26561,0.97472,1.46016
3.18000,0.44393,92.27284,-1.26066,0.97777,1.46264
3.19000,0.44674,92.20685,-1.25153,0.97764,1.46473
3.20000,0.44900,92.14225,-1.23872,0.97395,1.46594
3.21000,0.45036,92.07984,-1.22287,0.96667,1.46573
3.22000,0.45043,92.02043,-1.20476,0.95606,1.46366
3.23000,0.44888,91.96474,-1.18528,0.94261,1.45937
3.24000,0.44554,91.91334,-1.16533,0.92699,1.45272
3.25000,0.44041,91.86658,-1.14577,0.90989,1.44373
3.26000,0.43371,91.82455,-1.12736,0.89203,1.43263
3.27000,0.42577,91.78710,-1.11066,0.87404,1.41976
3.28000,0.41704,91.75386,-1.09600,0.85647,1.40552
3.29000,0.40796,91.72430,-1.08350,0.83981,1.39036
3.30000,0.39894,91.69772,-1.07301,0.82450,1.37463
3.31000,0.39028,91.67343,-1.06420,0.81095,1.35866
3.32000,0.38222,91.65070,-1.05656,0.79954,1.34265
3.33000,0.37490,91.62888,-1.04948,0.79058,1.32670
3.34000,0.36840,91.60739,-1.04229,0.78423,1.31086
3.35000,0.36279,91.58582,-1.03434,0.78042,1.29512
3.36000,0.35811,91.56387,-1.02503,0.77874,1.27949
3.37000,0.35439,91.54142,-1.01385,0.77842,1.26403
3.38000,0.35169,91.51850,-1.00039,0.77829,1.24885
3.39000,0.35003,91.49527,-0.98430,0.77686,1.23418
3.40000,0.34942,91.47198,-0.96528,0.77237,1.22033
3.41000,0.34987,91.44894,-0.94309,0.76304,1.20767
3.42000,0.35131,91.42654,-0.91746,0.74716,1.19662
3.43000,0.35366,91.40511,-0.88818,0.72331,1.18761
3.44000,0.35676,91.38496,-0.85508,0.69050,1.18101
3.45000,0.36037,91.36633,-0.81811,0.64824,1.17710
3.46000,0.36425,91.34935,-0.77738,0.59666,1.17604
3.47000,0.36808,91.33403,-0.73325,0.53655,1.17782
3.48000,0.37160,91.32033,-0.68633,0.46933,1.18221
3.49000,0.37456,91.30810,-0.63751,0.39705,1.18876
3.50000,0.37676,91.29714,-0.58788,0.32227,1.19676
3.51000,0.37811,91.28723,-0.53870,0.24785,1.20536
3.52000,0.37859,91.27808,-0.49131,0.17669,1.21354
3.53000,0.37826,91.26936,-0.44707,0.11144,1.22031
3.54000,0.37731,91.26073,-0.40725,0.05419,1.22473
3.55000,0.37598,91.25178,-0.37300,0.00625,1.22610
3.56000,0.37461,91.24213,-0.34523,-0.03194,1.22400
3.57000,0.37354,91.23145,-0.32461,-0.06088,1.21836
3.58000,0.37311,91.21947,-0.31143,-0.08178,1.20946
3.59000,0.37355,91.20603,-0.30564,-0.09641,1.19788
3.60000,0.37498,91.19115,-0.30680,-0.10682,1.18444
3.61000,0.37734,91.17494,-0.31414,-0.11502,1.17006
